Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
A SONIC AEROSPACE LIMITED,26,2015,61072000.0,49419000.0,10793000.0,33318000.0,31600000.0,-14379000.0,291000.0,1397000.0,27754000.0,-9994000.0,198382000.0,-5781000.0,-8306000.0,2522000.0,2964000.0,-327000.0,37269561.8914135,-31.451,0.2525032258064516,-0.52261817,3,17.92756405396715,-0.0946587634267749,0.1767258318050825,-82.60324012755122,1.5638924050632912,0.0412955200419177,-0.0299907245181902,4729897.042151912,1.3428537108673886,-0.235443411055803
A SONIC AEROSPACE LIMITED,26,2016,64675000.0,57726000.0,6258000.0,39642000.0,38351000.0,-13386000.0,-265000.0,1194000.0,25033000.0,-2465000.0,184948000.0,-701000.0,-1536000.0,835000.0,-504000.0,-93000.0,6995037.163918871,-7.719,0.1981369047619047,-0.53226874,3,17.984885286036366,-0.0108388094317742,0.0967607267104754,12.03631824846416,1.5052019504054652,0.0129107073830691,0.097069597069597,667098.9010989012,0.2794326354779239,-0.2069733281793583
A SONIC AEROSPACE LIMITED,26,2017,75246000.0,68037000.0,6118000.0,51612000.0,50660000.0,-17925000.0,-216000.0,-395000.0,23634000.0,-1221000.0,207152000.0,-1045000.0,-1832000.0,812000.0,4959000.0,-375000.0,7919165.10546856,-8.678,0.5612424,0.57626031,3,18.13627330403424,-0.0138877814103075,0.0813066475294367,1.6051621704797916,1.343012238452428,0.0107912712968131,0.150313152400835,4998373.69519833,0.3350751081267902,-0.2382186428514472
A SONIC AEROSPACE LIMITED,26,2018,73594000.0,65843000.0,5849000.0,49281000.0,48703000.0,-19062000.0,-182000.0,-1061000.0,24313000.0,1481000.0,218751000.0,984000.0,238000.0,754000.0,1744000.0,-297000.0,9212378.05546625,0.966,1.0422362549800797,0.438620118,3,18.11407405863689,0.0133706552164578,0.0794765877653069,-20.179642048648265,1.3519290392788943,0.0102454004402532,-0.1401077752117013,831345.6505003849,0.3789075003276539,-0.259015680626138
A SONIC AEROSPACE LIMITED,26,2019,64284000.0,56792000.0,7293000.0,37310000.0,36436000.0,-14327000.0,-374000.0,994000.0,26974000.0,2533000.0,204908000.0,5068000.0,3153000.0,1915000.0,-1421000.0,-654000.0,19316579.958437,11.465,1.48333,0.565260569,3,17.978821324651097,0.0788376578930993,0.1134496919917864,-193.54476551871923,1.55867823032166,0.029789683280443,-0.1732283464566929,399188.9763779526,0.7161184829256692,-0.2228703876547819
A SONIC AEROSPACE LIMITED,26,2020,78976000.0,72652000.0,6104000.0,44286000.0,43938000.0,-27908000.0,-282000.0,2165000.0,34690000.0,6327000.0,262928000.0,10010000.0,8210000.0,1800000.0,9231000.0,-150000.0,14596609.1513811,61.729,0.3012150793650793,-0.18191667,3,18.184654566807144,0.1267473662884927,0.0772893030794165,5.664351203632552,1.653511766580181,0.0227917341977309,-0.0466501240694789,11646997.518610422,0.42077282073742,-0.3533731766612641
A SONIC AEROSPACE LIMITED,26,2021,106998000.0,100206000.0,6489000.0,63764000.0,63302000.0,-37955000.0,-1550000.0,5991000.0,43234000.0,6617000.0,459648000.0,12700000.0,11058000.0,1642000.0,12647000.0,-838000.0,27256026.7609036,194.0,0.1537802371541501,2.30485959,3,18.488320700662705,0.1186938073608852,0.0606459933830538,0.4636445402530862,1.5829831600897286,0.0153460812351632,-0.3059009275705546,21308652.457075197,0.6304303733381968,-0.3547262565655433
A SONIC AEROSPACE LIMITED,26,2022,96219000.0,89113000.0,6150000.0,50226000.0,48822000.0,-45588000.0,-791000.0,1640000.0,45993000.0,4878000.0,378781000.0,7675000.0,5727000.0,1948000.0,12112000.0,-462000.0,43312351.0210805,56.147,1.5047336,6.12106004,3,18.382137401331857,0.0797659505918789,0.0639166900508215,2.7402244668253166,1.8252632010159355,0.020245481661626,-0.1935404942500611,14531406.4105701,0.9417161529163244,-0.4737941570791631
ACMA LIMITED,46,2015,46181483.3011627,37086780.811429,4360987.28919029,21956290.8539772,21479595.195055,-1272367.1964407,-401018.454909325,27637032.000064887,24225192.4471855,-27559233.0052853,50796378.21877,1384114.84348774,-323219.460129738,1707334.30361748,279369.117617607,-648560.711026192,18888335.3468841,-1.277,0.2525032258064516,-0.52261817,10,17.648089481365318,0.0299712080372458,0.094431511884342,24.977760530090062,1.7266052025024692,0.0369701053663318,0.0143424480813497,28168579.132125154,0.7796980514422522,-0.0275514579759863
ACMA LIMITED,46,2016,52691695.9018707,34406416.274786,7985203.60028744,26286385.8754635,25202240.1273251,1393210.25669575,-406554.65555191,62227.75340080197,26405310.0264072,818640.66696167,52807162.9554033,1887575.18649101,474313.764810562,1413952.84116268,-739127.426505089,-776464.07854557,8499886.09622823,1.285,0.1981369047619047,-0.53226874,10,17.779968428076128,0.0358230107075372,0.1515457694730213,-62.33306071055157,1.3652126200274328,0.0268344530757925,-0.9865771812080516,160956.88698435586,0.3219006361874841,0.026440793617468
ACMA LIMITED,46,2017,58232080.4266334,43445308.2663417,9547358.81084204,32780936.1568093,31058655.7726264,4162052.90061235,-198264.249265194,1769414.90381956,25451144.269824,-1038455.7659626,70499774.3707895,2477180.86534739,532694.888591766,2006583.83595943,1553942.8140521,-1719287.71626949,9514660.92496066,0.764,0.5612424,0.57626031,10,17.879946970920805,0.0425397967443115,0.1639535929490061,0.3673733249207002,1.3988148290896831,0.0344583916847608,0.1603145795523292,4758982.427781693,0.3738402023928512,0.0714735395012397
ACMA LIMITED,46,2018,55120897.3919153,42418669.8309183,8453253.30936909,33951495.0677156,32541031.981945,6839097.37277031,-211752.639889717,910756.1639547368,21169402.3241997,-2588657.70494938,73239303.2022715,-100381.009221077,-1889654.18088436,1808323.58217239,-580304.812431335,-857268.472909927,6367344.61961334,-2.85,1.0422362549800797,0.438620118,10,17.825039465232273,-0.0018211062223344,0.1533584123144001,-117.02268240397656,1.303544087183645,0.0328064974943173,0.0756148613291469,1118853.1233912257,0.3007805568669523,0.1240744925494158
ACMA LIMITED,46,2019,53207394.5019841,37086550.8503318,15869952.9087543,40976099.645555,34349021.0875869,14227286.5950465,-246437.061071396,408254.167437546,12231294.8564291,-7237232.96821117,66629306.966722,-3817547.60569334,-7075415.86184502,3257868.25615168,2844418.1265831,-745249.425649643,3209531.25147411,-5.687,1.48333,0.565260569,10,17.789707939051244,-0.0717484410094725,0.2982659282097061,-30.40697473017204,1.0796974608319825,0.0612296145422079,0.032929974211466,3984477.920464847,0.2624032278795972,0.2673930330213024
ACMA LIMITED,46,2020,42711595.9796906,30469707.8475952,12117086.6775513,34110128.4580231,28562892.8966522,12816731.1954498,-364571.521759033,2117086.492538453,8601467.52166748,-3990621.05560303,44448983.5014343,281370.552062988,-2238106.08482361,3213826.54762268,1903033.08868408,-323727.409362793,2340626.2137909303,-3.112,0.3012150793650793,-0.18191667,10,17.56998100994179,0.0065876852786484,0.2836954789353454,2.0537583867319045,1.0667584672827903,0.0752448245940249,0.083709621396318,4166626.4818316735,0.2721194037988039,0.3000761479749941
ACMA LIMITED,46,2021,33076867.3408031,25431679.5282364,7594140.98083973,28520382.7522993,24282755.9098005,7668861.70554161,-165717.250823975,-1495154.303193085,4556484.58850384,-2314862.8474474,40708738.5885715,-1061626.13809109,-3975734.40146446,2917807.3091507,4408522.757411,-336613.165736198,1254449.52437303,-5.483,0.1537802371541501,2.30485959,10,17.31434472414344,-0.0320957280250504,0.2295906955938272,-9.226521752868136,1.0473143832068994,0.0882129277566542,0.0668058455114822,3349866.6673490587,0.2753108235103104,0.2318496980541269
ACMA LIMITED,46,2022,33234418.3146358,26957458.7833285,6218206.00014925,30074370.7970381,26404134.3886256,7797114.18557167,-606871.916770935,1104417.6426529884,3160047.51759768,-534731.505095959,38752044.234395,2272051.10996962,-37185.7792139053,2331548.35671186,2121076.84636116,-312360.545396805,1134966.05330115,-0.086,1.5047336,6.12106004,10,17.31909659311226,0.0683644012800143,0.1871013941414726,20.610261454954657,1.0209559755513615,0.0701546311007673,0.5315960912052117,2950750.93251855,0.3591610717815945,0.2346096180097116
ADDVALUE TECHNOLOGIES LTD,61,2015,22215000.0,7461000.0,939000.0,13960000.0,13919000.0,4427000.0,21000.0,1479000.0,8255000.0,-4708000.0,9944000.0,-827000.0,-3208000.0,2381000.0,-165000.0,-180000.0,36909881.9656538,-2.039,0.2525032258064516,-0.52261817,12,16.916278294352146,-0.0372270988071123,0.0422687373396353,-2.026207852248916,0.5360298872045406,0.1071798334458699,-0.0044804779176445,1500626.6268401963,4.471215259316026,0.1992797659239252
ADDVALUE TECHNOLOGIES LTD,61,2016,19883000.0,5581000.0,793000.0,6224000.0,6053000.0,1469000.0,-961000.0,2419000.0,13659000.0,-3464000.0,10840000.0,-678000.0,-2006000.0,1328000.0,-3159000.0,-214000.0,46436390.5116317,-3.355,0.1981369047619047,-0.53226874,12,16.80537565324022,-0.0340994819695217,0.0398833174068299,-4.158370814036342,0.9220221377829176,0.0667907257456118,0.2171751412429378,-1051346.6666666667,3.3996918157721425,0.0738822109339636
ADDVALUE TECHNOLOGIES LTD,61,2017,14290000.0,5136000.0,599000.0,6814000.0,5029000.0,1574000.0,-1896000.0,9816000.0,7476000.0,-12785000.0,4086000.0,-3294000.0,-4865000.0,1571000.0,-3456000.0,-149000.0,52639478.9793377,-24.447,0.5612424,0.57626031,12,16.47507054990605,-0.2305108467459762,0.0419174247725682,-2.287449171585038,1.0212765957446808,0.1099370188943317,0.1291465159049111,5241297.799877392,7.041128809435219,0.110146955913226
ADDVALUE TECHNOLOGIES LTD,61,2018,13826000.0,4090000.0,328000.0,8571000.0,6913000.0,2984000.0,82000.0,1265000.0,5255000.0,-4107000.0,4017000.0,-2081000.0,-2760000.0,679000.0,-922000.0,-48000.0,31728111.3370759,-3.424,1.0422362549800797,0.438620118,12,16.442061435487346,-0.1505135252422971,0.0237234196441487,25.6223245006479,0.5916389411254159,0.0491103717633444,-0.0203726708074534,416771.42857142864,6.037699588406452,0.2158252567626211
ADDVALUE TECHNOLOGIES LTD,61,2019,19533000.0,9298000.0,1110000.0,11641000.0,9751000.0,5515000.0,23000.0,672000.0,7892000.0,1831000.0,9627000.0,3380000.0,2526000.0,854000.0,-925000.0,-525000.0,26257331.820809502,2.233,1.48333,0.565260569,12,16.787615900887108,0.1730404955715968,0.0568269083090155,-1.3713775866077658,0.9535432263357604,0.0437208826089182,0.0124056094929881,263663.430420712,3.327082085758933,0.2823427020938924
ADDVALUE TECHNOLOGIES LTD,61,2020,20190000.0,9741000.0,808000.0,12328000.0,10566000.0,6761000.0,-88000.0,2229000.0,7862000.0,-6175000.0,2676000.0,-3121000.0,-4034000.0,913000.0,-2790000.0,-109000.0,35054225.1128433,-2.289,0.3012150793650793,-0.18191667,12,16.82069799028902,-0.154581475978207,0.0400198117880138,3.5967824995532003,0.9219193639977286,0.0452204061416542,0.0140507743892703,-483319.17611368326,4.458690551112096,0.3348687469044081
ADDVALUE TECHNOLOGIES LTD,61,2021,14891000.0,5794000.0,472000.0,12461000.0,10738000.0,5013000.0,-65000.0,8019000.0,2430000.0,-7963000.0,5458000.0,979000.0,-9000.0,988000.0,434000.0,-89000.0,24249908.6820564,-0.007,0.1537802371541501,2.30485959,12,16.51626756157234,0.0657444093747901,0.0316969981868242,-0.9597518861068411,0.5395790650027938,0.0663488012893694,0.0080966616841056,8477072.869955156,9.9793862889121,0.3366462964206568
