Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
A SONIC AEROSPACE LIMITED,26,2020.0,78976000.0,72652000.0,6104000.0,44286000.0,43938000.0,-27908000.0,-282000.0,2165000.0,34690000.0,6327000.0,262928000.0,10010000.0,8210000.0,1800000.0,9231000.0,-150000.0,14596609.1513811,61.729,0.3012150793650793,-0.18191667,3,18.184654566807144,0.1267473662884927,0.0772893030794165,5.664351203632552,1.653511766580181,0.0227917341977309,-0.0466501240694789,11646997.518610422,0.42077282073742,-0.3533731766612641
A SONIC AEROSPACE LIMITED,26,2021.0,106998000.0,100206000.0,6489000.0,63764000.0,63302000.0,-37955000.0,-1550000.0,5991000.0,43234000.0,6617000.0,459648000.0,12700000.0,11058000.0,1642000.0,12647000.0,-838000.0,27256026.7609036,194.0,0.1537802371541501,2.30485959,3,18.488320700662705,0.1186938073608852,0.0606459933830538,0.4636445402530862,1.5829831600897286,0.0153460812351632,-0.3059009275705546,21308652.457075197,0.6304303733381968,-0.3547262565655433
A SONIC AEROSPACE LIMITED,26,2022.0,96219000.0,89113000.0,6150000.0,50226000.0,48822000.0,-45588000.0,-791000.0,1640000.0,45993000.0,4878000.0,378781000.0,7675000.0,5727000.0,1948000.0,12112000.0,-462000.0,43312351.0210805,56.147,1.5047336,6.12106004,3,18.382137401331857,0.0797659505918789,0.0639166900508215,2.7402244668253166,1.8252632010159355,0.020245481661626,-0.1935404942500611,14531406.4105701,0.9417161529163244,-0.4737941570791631
ACMA LIMITED,46,2020.0,42711595.9796906,30469707.8475952,12117086.6775513,34110128.4580231,28562892.8966522,12816731.1954498,-364571.521759033,2117086.492538453,8601467.52166748,-3990621.05560303,44448983.5014343,281370.552062988,-2238106.08482361,3213826.54762268,1903033.08868408,-323727.409362793,2340626.2137909303,-3.112,0.3012150793650793,-0.18191667,10,17.56998100994179,0.0065876852786484,0.2836954789353454,2.0537583867319045,1.0667584672827903,0.0752448245940249,0.083709621396318,4166626.4818316735,0.2721194037988039,0.3000761479749941
ACMA LIMITED,46,2021.0,33076867.3408031,25431679.5282364,7594140.98083973,28520382.7522993,24282755.9098005,7668861.70554161,-165717.250823975,-1495154.303193085,4556484.58850384,-2314862.8474474,40708738.5885715,-1061626.13809109,-3975734.40146446,2917807.3091507,4408522.757411,-336613.165736198,1254449.52437303,-5.483,0.1537802371541501,2.30485959,10,17.31434472414344,-0.0320957280250504,0.2295906955938272,-9.226521752868136,1.0473143832068994,0.0882129277566542,0.0668058455114822,3349866.6673490587,0.2753108235103104,0.2318496980541269
ACMA LIMITED,46,2022.0,33234418.3146358,26957458.7833285,6218206.00014925,30074370.7970381,26404134.3886256,7797114.18557167,-606871.916770935,1104417.6426529884,3160047.51759768,-534731.505095959,38752044.234395,2272051.10996962,-37185.7792139053,2331548.35671186,2121076.84636116,-312360.545396805,1134966.05330115,-0.086,1.5047336,6.12106004,10,17.31909659311226,0.0683644012800143,0.1871013941414726,20.610261454954657,1.0209559755513615,0.0701546311007673,0.5315960912052117,2950750.93251855,0.3591610717815945,0.2346096180097116
ADDVALUE TECHNOLOGIES LTD,61,2020.0,20190000.0,9741000.0,808000.0,12328000.0,10566000.0,6761000.0,-88000.0,2229000.0,7862000.0,-6175000.0,2676000.0,-3121000.0,-4034000.0,913000.0,-2790000.0,-109000.0,35054225.1128433,-2.289,0.3012150793650793,-0.18191667,12,16.82069799028902,-0.154581475978207,0.0400198117880138,3.5967824995532003,0.9219193639977286,0.0452204061416542,0.0140507743892703,-483319.17611368326,4.458690551112096,0.3348687469044081
ADDVALUE TECHNOLOGIES LTD,61,2021.0,14891000.0,5794000.0,472000.0,12461000.0,10738000.0,5013000.0,-65000.0,8019000.0,2430000.0,-7963000.0,5458000.0,979000.0,-9000.0,988000.0,434000.0,-89000.0,24249908.6820564,-0.007,0.1537802371541501,2.30485959,12,16.51626756157234,0.0657444093747901,0.0316969981868242,-0.9597518861068411,0.5395790650027938,0.0663488012893694,0.0080966616841056,8477072.869955156,9.9793862889121,0.3366462964206568
ADDVALUE TECHNOLOGIES LTD,61,2022.0,16351000.0,7828000.0,550000.0,10520000.0,5600000.0,4187000.0,344000.0,538000.0,5831000.0,-2992000.0,7549000.0,-1110000.0,-2110000.0,1000000.0,-2734000.0,-274000.0,26874417.9112089,-4.333,1.5047336,6.12106004,12,16.609799615516724,-0.0678857562228609,0.0336370864167329,609.3447048195973,1.397857142857143,0.0611583389395144,-0.1299093655589124,-1852108.7613293051,4.608886625143012,0.2560699651397468
ADVANCED SYSTEMS AUTOMATION LTD,28,2020.0,14850616.7182922,6985855.96466064,5857348.26660156,16289237.121582,14619923.1204987,289690.649032593,-123288.709640503,720822.9465484628,-1438620.40328979,-2289539.4115448,12928674.3183136,-903865.079879761,-1692005.17463684,901595.962524414,241282.81211853,-1116405.73883057,16885356.8134218,-6.417,0.3012150793650793,-0.18191667,14,16.51355195220197,-0.0608638076805543,0.3944178465926462,6.519727746731887,0.4778312380361098,0.0607110115106449,0.0510971786833856,2041679.4785986915,-11.73718708201894,0.0195069776917592
ADVANCED SYSTEMS AUTOMATION LTD,28,2021.0,14431457.1956396,6676037.81890869,5919952.86202431,16083451.0397911,14574240.3626442,219723.319172859,-445365.111589432,770141.330838204,-1651993.8441515,-180513.433933258,14091144.9841261,1240659.95371342,144262.785315514,1128208.96208286,329215.074181557,-1045350.33667088,16515595.6360048,0.405,0.1537802371541501,2.30485959,14,16.484920909410345,0.0859691392833344,0.4102117188701497,-12.069974775426006,0.4580710659898475,0.0781770646434611,0.7115839243498819,1596686.5511887511,-9.997371173309409,0.01522530373712
ADVANCED SYSTEMS AUTOMATION LTD,28,2022.0,13148891.5300369,6045663.98459673,5518369.63534355,15176260.212779,7171649.37919378,1377361.26208305,-194109.767496586,666369.1635131835,-2027368.68274212,17105.4584383965,11186969.8187113,1401903.87636423,489364.854454994,973523.699820042,1478506.58154488,-387475.819408894,16602803.2600188,1.193,1.5047336,6.12106004,14,16.391848018741314,0.1066176470588236,0.4196832579185527,-11.606912924003796,0.842994918593799,0.0740384615384617,1.0966386554621854,1801585.380950399,-8.189335961115201,0.1047511312217194
