Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,PER,SOLV,NEMP,SORA,CPI
5E RESOURCES LTD,3900.0,,,,,,,,,,,,,,,,,,,,,,,
5E RESOURCES LTD,3900.0,2003.0,,,,,,,,,,,,,,,,,,,,,0.4880463576158941,
5E RESOURCES LTD,3900.0,2004.0,,,,,,,,,,,,,,,,,,,,,0.6823102310231023,1.662727199
5E RESOURCES LTD,3900.0,2005.0,,,,,,,,,,,,,,,,,,,,,1.8628145695364235,0.425106277
5E RESOURCES LTD,3900.0,2006.0,,,,,,,,,,,,,,,,,,,,,2.9766791044776117,0.962901778
5E RESOURCES LTD,3900.0,2007.0,,,,,,,,,,,,,,,,,,,,,2.16956,2.104880036
5E RESOURCES LTD,3900.0,2008.0,,,,,,,,,,,,,,,,,,,,,0.5572222222222222,6.62778177
5E RESOURCES LTD,3900.0,2009.0,,,,,,,,,,,,,,,,,,,,,0.1634920634920635,0.596720257
5E RESOURCES LTD,3900.0,2010.0,,,,,,,,,,,,,,,,,,,,,0.06964285714285715,2.823661349
5E RESOURCES LTD,3900.0,2011.0,,,,,,,,,,,,,,,,,,,,,0.02296,5.247793398
5E RESOURCES LTD,3900.0,2012.0,,,,,,,,,,,,,,,,,,,,,0.026215139442231077,4.575602704
5E RESOURCES LTD,3900.0,2013.0,,,,,,,,,,,,,,,,,,,,,0.03772908366533865,2.358604154
5E RESOURCES LTD,3900.0,2014.0,,,,,,,,,,,,,,,,,,,,,0.07970555555555556,1.02514803
5E RESOURCES LTD,3900.0,2015.0,,,,,,,,,,,,,,,,,,,,,0.2525032258064516,-0.52261817
5E RESOURCES LTD,3900.0,2016.0,,,,,,,,,,,,,,,,,,,,,0.19813690476190476,-0.53226874
5E RESOURCES LTD,3900.0,2017.0,,,,,,,,,,,,,,,,,,,,,0.5612424,0.57626031
5E RESOURCES LTD,3900.0,2018.0,12254681.7978621,4352059.9783361,7771898.12576771,5139543.37567091,1509000.86417794,2033345.43988109,-519270.27335763,,7115138.42219114,1707381.92254305,11176513.3661628,3152108.29034448,2461278.27101946,-691071.652770042,2675848.77020121,-313156.94475174,,,9.793,142.0,1.0422362549800797,0.438620118
5E RESOURCES LTD,3900.0,2019.0,13765668.9291,4927061.70630455,8838607.22279549,3616615.76646566,3128649.97458458,-1619059.25738811,-947587.051033974,,10149053.1626344,2953940.13923407,13152351.8847227,4557605.38315773,3843860.72713137,-726450.825870037,5402076.97892189,-1080268.78613234,,,36.719,120.0,1.48333,0.565260569
5E RESOURCES LTD,3900.0,2020.0,15415151.0519832,7021928.86461318,8301021.83675766,4179915.35452008,3706952.47489214,-3230500.93334913,-811113.895252347,,11235235.6974632,2004983.84061456,10976576.3354748,3642661.41960025,2828058.86243284,-825816.113322973,1777224.05558825,-205332.672715187,,,49.362,131.0,0.30121507936507935,-0.18191667
5E RESOURCES LTD,3900.0,2021.0,17264128.0643642,8408524.76388216,8838840.84865451,4241139.77596164,3000239.41352963,-3770354.34320569,-1156369.71250176,,13022988.2884026,2226293.066293,13881704.749167,4079741.31122231,3403975.03897548,-675047.881454229,3222461.63204312,-926005.731672049,,,86.17,,0.15378023715415018,2.30485959
5E RESOURCES LTD,3900.0,2022.0,27871743.452996,16398595.5744237,11407432.943359,6164287.52623498,2992068.98123026,-11023340.4771984,-1148878.35010886,,21707455.926761,2791751.73044205,14722184.9168092,4545434.08773839,3771810.67802012,-752775.913029909,4631996.51964009,-1651484.30287838,27.9682197401241,10.018,35.385,155.0,1.5047336,6.12106004
5E RESOURCES LTD,3900.0,2023.0,30094957.8623623,16592181.08733,13502776.7750323,5790264.57855105,2852444.71471012,-10855058.1832379,-1380594.56719458,,24304693.2838112,4695850.99594295,17415005.8664531,6437765.39070904,5713383.38558376,-742458.886191249,4406620.89888752,-3121419.99322176,28.8903224577284,6.152,48.247,,3.617463453815261,
8I HOLDINGS LIMITED,7022.0,,,,,,,,,,,,,,,,,,,,,,,
8I HOLDINGS LIMITED,7022.0,2003.0,,,,,,,,,,,,,,,,,,,,,0.4880463576158941,
8I HOLDINGS LIMITED,7022.0,2004.0,,,,,,,,,,,,,,,,,,,,,0.6823102310231023,1.662727199
8I HOLDINGS LIMITED,7022.0,2005.0,,,,,,,,,,,,,,,,,,,,,1.8628145695364235,0.425106277
8I HOLDINGS LIMITED,7022.0,2006.0,,,,,,,,,,,,,,,,,,,,,2.9766791044776117,0.962901778
8I HOLDINGS LIMITED,7022.0,2007.0,,,,,,,,,,,,,,,,,,,,,2.16956,2.104880036
8I HOLDINGS LIMITED,7022.0,2008.0,,,,,,,,,,,,,,,,,,,,,0.5572222222222222,6.62778177
8I HOLDINGS LIMITED,7022.0,2009.0,,,,,,,,,,,,,,,,,,,,,0.1634920634920635,0.596720257
8I HOLDINGS LIMITED,7022.0,2010.0,,,,,,,,,,,,,,,,,,,,,0.06964285714285715,2.823661349
