Company,NACE,Year,TA,CA,FA,TL,CL,DEBT,TAXEX,INTEX,TE,PROFIT,SALES,EBITDA,EBIT,DA,CFO,CAPEX,MCAP,SOLV,SORA,CPI,Company Code,SIZE,PROFITABILITY,TANG,RISK,LIQUID,NDTSHIELD,TAXRATE,FCFF,GROWPOT,LEVERAGE
A SONIC AEROSPACE LIMITED,26,2015.0,61072000.0,49419000.0,10793000.0,33318000.0,31600000.0,-14379000.0,291000.0,1397000.0,27754000.0,-9994000.0,198382000.0,-5781000.0,-8306000.0,2522000.0,2964000.0,-327000.0,37269561.8914135,-31.451,0.2525032258064516,-0.52261817,3,17.92756405396715,-0.0946587634267749,0.1767258318050825,-82.60324012755122,1.5638924050632912,0.0412955200419177,-0.0299907245181902,4729897.042151912,1.3428537108673886,-0.235443411055803
A SONIC AEROSPACE LIMITED,26,2016.0,64675000.0,57726000.0,6258000.0,39642000.0,38351000.0,-13386000.0,-265000.0,1194000.0,25033000.0,-2465000.0,184948000.0,-701000.0,-1536000.0,835000.0,-504000.0,-93000.0,6995037.163918871,-7.719,0.1981369047619047,-0.53226874,3,17.984885286036366,-0.0108388094317742,0.0967607267104754,12.03631824846416,1.5052019504054652,0.0129107073830691,0.097069597069597,667098.9010989012,0.2794326354779239,-0.2069733281793583
A SONIC AEROSPACE LIMITED,26,2017.0,75246000.0,68037000.0,6118000.0,51612000.0,50660000.0,-17925000.0,-216000.0,-395000.0,23634000.0,-1221000.0,207152000.0,-1045000.0,-1832000.0,812000.0,4959000.0,-375000.0,7919165.10546856,-8.678,0.5612424,0.57626031,3,18.13627330403424,-0.0138877814103075,0.0813066475294367,1.6051621704797916,1.343012238452428,0.0107912712968131,0.150313152400835,4998373.69519833,0.3350751081267902,-0.2382186428514472
A SONIC AEROSPACE LIMITED,26,2018.0,73594000.0,65843000.0,5849000.0,49281000.0,48703000.0,-19062000.0,-182000.0,-1061000.0,24313000.0,1481000.0,218751000.0,984000.0,238000.0,754000.0,1744000.0,-297000.0,9212378.05546625,0.966,1.0422362549800797,0.438620118,3,18.11407405863689,0.0133706552164578,0.0794765877653069,-20.179642048648265,1.3519290392788943,0.0102454004402532,-0.1401077752117013,831345.6505003849,0.3789075003276539,-0.259015680626138
A SONIC AEROSPACE LIMITED,26,2019.0,64284000.0,56792000.0,7293000.0,37310000.0,36436000.0,-14327000.0,-374000.0,994000.0,26974000.0,2533000.0,204908000.0,5068000.0,3153000.0,1915000.0,-1421000.0,-654000.0,19316579.958437,11.465,1.48333,0.565260569,3,17.978821324651097,0.0788376578930993,0.1134496919917864,-193.54476551871923,1.55867823032166,0.029789683280443,-0.1732283464566929,399188.9763779526,0.7161184829256692,-0.2228703876547819
ACMA LIMITED,46,2015.0,46181483.3011627,37086780.811429,4360987.28919029,21956290.8539772,21479595.195055,-1272367.1964407,-401018.454909325,27637032.000064887,24225192.4471855,-27559233.0052853,50796378.21877,1384114.84348774,-323219.460129738,1707334.30361748,279369.117617607,-648560.711026192,18888335.3468841,-1.277,0.2525032258064516,-0.52261817,10,17.648089481365318,0.0299712080372458,0.094431511884342,24.977760530090062,1.7266052025024692,0.0369701053663318,0.0143424480813497,28168579.132125154,0.7796980514422522,-0.0275514579759863
ACMA LIMITED,46,2016.0,52691695.9018707,34406416.274786,7985203.60028744,26286385.8754635,25202240.1273251,1393210.25669575,-406554.65555191,62227.75340080197,26405310.0264072,818640.66696167,52807162.9554033,1887575.18649101,474313.764810562,1413952.84116268,-739127.426505089,-776464.07854557,8499886.09622823,1.285,0.1981369047619047,-0.53226874,10,17.779968428076128,0.0358230107075372,0.1515457694730213,-62.33306071055157,1.3652126200274328,0.0268344530757925,-0.9865771812080516,160956.88698435586,0.3219006361874841,0.026440793617468
ACMA LIMITED,46,2017.0,58232080.4266334,43445308.2663417,9547358.81084204,32780936.1568093,31058655.7726264,4162052.90061235,-198264.249265194,1769414.90381956,25451144.269824,-1038455.7659626,70499774.3707895,2477180.86534739,532694.888591766,2006583.83595943,1553942.8140521,-1719287.71626949,9514660.92496066,0.764,0.5612424,0.57626031,10,17.879946970920805,0.0425397967443115,0.1639535929490061,0.3673733249207002,1.3988148290896831,0.0344583916847608,0.1603145795523292,4758982.427781693,0.3738402023928512,0.0714735395012397
ACMA LIMITED,46,2018.0,55120897.3919153,42418669.8309183,8453253.30936909,33951495.0677156,32541031.981945,6839097.37277031,-211752.639889717,910756.1639547368,21169402.3241997,-2588657.70494938,73239303.2022715,-100381.009221077,-1889654.18088436,1808323.58217239,-580304.812431335,-857268.472909927,6367344.61961334,-2.85,1.0422362549800797,0.438620118,10,17.825039465232273,-0.0018211062223344,0.1533584123144001,-117.02268240397656,1.303544087183645,0.0328064974943173,0.0756148613291469,1118853.1233912257,0.3007805568669523,0.1240744925494158
ACMA LIMITED,46,2019.0,53207394.5019841,37086550.8503318,15869952.9087543,40976099.645555,34349021.0875869,14227286.5950465,-246437.061071396,408254.167437546,12231294.8564291,-7237232.96821117,66629306.966722,-3817547.60569334,-7075415.86184502,3257868.25615168,2844418.1265831,-745249.425649643,3209531.25147411,-5.687,1.48333,0.565260569,10,17.789707939051244,-0.0717484410094725,0.2982659282097061,-30.40697473017204,1.0796974608319825,0.0612296145422079,0.032929974211466,3984477.920464847,0.2624032278795972,0.2673930330213024
