Year,Month,Date,SIBOR,SORA
2003,Jan,2,0.38,-
2003,Jan,3,0.5,-
2003,Jan,4,0.63,-
2003,Jan,6,0.88,-
2003,Jan,7,0.88,-
2003,Jan,8,0.63,-
2003,Jan,9,0.63,-
2003,Jan,10,0.56,-
2003,Jan,11,0.5,-
2003,Jan,13,0.38,-
2003,Jan,14,0.31,-
2003,Jan,15,0.38,-
2003,Jan,16,0.25,-
2003,Jan,17,0.75,-
2003,Jan,18,0.56,-
2003,Jan,20,0.5,-
2003,Jan,21,0.25,-
2003,Jan,22,0.13,-
2003,Jan,23,0.5,-
2003,Jan,24,0.63,-
2003,Jan,25,0.63,-
2003,Jan,27,0.63,-
2003,Jan,28,0.63,-
2003,Jan,29,0.63,-
2003,Jan,30,0.5,-
2003,Jan,31,0.13,-
2003,Feb,4,0.06,-
2003,Feb,5,0.19,-
2003,Feb,6,0.5,-
2003,Feb,7,0.44,-
2003,Feb,8,0.5,-
2003,Feb,10,0.31,-
2003,Feb,11,0.25,-
2003,Feb,13,0.38,-
2003,Feb,14,0.5,-
2003,Feb,15,0.5,-
2003,Feb,17,0.63,-
2003,Feb,18,0.38,-
2003,Feb,19,0.38,-
2003,Feb,20,0.5,-
2003,Feb,21,0.63,-
2003,Feb,22,0.5,-
2003,Feb,24,0.63,-
2003,Feb,25,0.69,-
2003,Feb,26,0.69,-
2003,Feb,27,0.69,-
2003,Feb,28,0.75,-
2003,Mar,1,0.69,-
2003,Mar,3,0.13,-
2003,Mar,4,0.06,-
2003,Mar,5,0.25,-
2003,Mar,6,0.5,-
2003,Mar,7,0.5,-
2003,Mar,8,0.31,-
2003,Mar,10,0.63,-
2003,Mar,11,0.69,-
2003,Mar,12,0.69,-
2003,Mar,13,0.69,-
2003,Mar,14,0.63,-
2003,Mar,15,0.38,-
2003,Mar,17,0.69,-
2003,Mar,18,0.25,-
2003,Mar,19,0.13,-
2003,Mar,20,0.5,-
2003,Mar,21,0.63,-
2003,Mar,22,0.63,-
2003,Mar,24,0.63,-
2003,Mar,25,0.69,-
2003,Mar,26,0.63,-
2003,Mar,27,0.69,-
2003,Mar,28,0.75,-
2003,Mar,29,0.63,-
2003,Mar,31,0.81,-
2003,Apr,1,0.81,-
2003,Apr,2,0.81,-
2003,Apr,3,0.75,-
2003,Apr,4,0.63,-
2003,Apr,5,0.63,-
2003,Apr,7,0.63,-
2003,Apr,8,0.38,-
2003,Apr,9,0.31,-
2003,Apr,10,0.25,-
2003,Apr,11,0.5,-
2003,Apr,12,0.38,-
2003,Apr,14,0.44,-
2003,Apr,15,0.44,-
2003,Apr,16,0.38,-
2003,Apr,17,0.38,-
2003,Apr,19,0.38,-
2003,Apr,21,0.25,-
2003,Apr,22,0.5,-
2003,Apr,23,0.31,-
2003,Apr,24,0.38,-
2003,Apr,25,0.56,-
2003,Apr,26,0.5,-
2003,Apr,28,0.56,-
2003,Apr,29,0.25,-
2003,Apr,30,0.13,-
2003,May,2,0.63,-
2003,May,3,0.63,-
2003,May,5,0.63,-
2003,May,6,0.63,-
2003,May,7,0.75,-
2003,May,8,0.75,-
2003,May,9,0.5,-
2003,May,10,0.5,-
2003,May,12,0.44,-
2003,May,13,0.63,-
2003,May,14,0.56,-
2003,May,16,0.63,-
2003,May,17,0.63,-
2003,May,19,0.38,-
2003,May,20,0.5,-
2003,May,21,0.5,-
2003,May,22,0.5,-
2003,May,23,0.56,-
2003,May,24,0.5,-
2003,May,26,0.56,-
2003,May,27,0.69,-
2003,May,28,0.13,-
2003,May,29,0.63,-
2003,May,30,0.63,-
2003,May,31,0.63,-
2003,Jun,2,0.5,-
2003,Jun,3,0.63,-
2003,Jun,4,0.56,-
2003,Jun,5,0.5,-
2003,Jun,6,0.56,-
2003,Jun,7,0.44,-
2003,Jun,9,0.38,-
2003,Jun,10,0.38,-
2003,Jun,11,0.13,-
2003,Jun,12,0.44,-
2003,Jun,13,0.38,-
2003,Jun,14,0.25,-
2003,Jun,16,0.38,-
2003,Jun,17,0.44,-
2003,Jun,18,0.56,-
2003,Jun,19,0.56,-
2003,Jun,20,0.56,-
2003,Jun,21,0.5,-
2003,Jun,23,0.38,-
2003,Jun,24,0.38,-
2003,Jun,25,0.44,-
2003,Jun,26,0.5,-
2003,Jun,27,0.5,-
2003,Jun,28,0.5,-
2003,Jun,30,0.44,-
2003,Jul,1,0.38,-
2003,Jul,2,0.31,-
2003,Jul,3,0.38,-
2003,Jul,4,0.44,-
2003,Jul,5,0.38,-
2003,Jul,7,0.5,-
2003,Jul,8,0.63,-
2003,Jul,9,0.31,-
2003,Jul,10,0.56,-
2003,Jul,11,0.56,-
2003,Jul,12,0.5,-
2003,Jul,14,0.5,-
2003,Jul,15,0.5,-
2003,Jul,16,0.38,-
2003,Jul,17,0.63,-
2003,Jul,18,0.5,-
2003,Jul,19,0.5,-
2003,Jul,21,0.5,-
2003,Jul,22,0.25,-
2003,Jul,23,0.13,-
2003,Jul,24,0.5,-
2003,Jul,25,0.5,-
2003,Jul,26,0.5,-
2003,Jul,28,0.5,-
2003,Jul,29,0.5,-
2003,Jul,30,0.56,-
2003,Jul,31,0.75,-
2003,Aug,1,0.81,-
2003,Aug,2,0.75,-
2003,Aug,4,0.63,-
2003,Aug,5,0.75,-
2003,Aug,6,0.63,-
2003,Aug,7,0.75,-
2003,Aug,8,0.69,-
2003,Aug,11,0.75,-
2003,Aug,12,0.75,-
2003,Aug,13,0.75,-
2003,Aug,14,0.75,-
2003,Aug,15,0.88,-
2003,Aug,16,0.75,-
2003,Aug,18,0.75,-
2003,Aug,19,0.88,-
2003,Aug,20,0.81,-
2003,Aug,21,0.81,-
2003,Aug,22,0.69,-
2003,Aug,23,0.81,-
2003,Aug,25,0.75,-
2003,Aug,26,0.69,-
2003,Aug,27,0.88,-
2003,Aug,28,0.63,-
2003,Aug,29,0.88,-
2003,Aug,30,0.75,-
2003,Sep,1,0.81,-
2003,Sep,2,0.75,-
2003,Sep,3,0.5,-
2003,Sep,4,0.75,-
2003,Sep,5,0.63,-
2003,Sep,6,0.63,-
2003,Sep,8,0.56,-
2003,Sep,9,0.56,-
2003,Sep,10,0.5,-
2003,Sep,11,0.25,-
2003,Sep,12,0.44,-
2003,Sep,13,0.5,-
2003,Sep,15,0.5,-
2003,Sep,16,0.44,-
2003,Sep,17,0.25,-
2003,Sep,18,0.56,-
2003,Sep,19,0.56,-
2003,Sep,20,0.38,-
2003,Sep,22,0.56,-
2003,Sep,23,0.5,-
2003,Sep,24,0.5,-
2003,Sep,25,0.5,-
2003,Sep,26,0.56,-
2003,Sep,27,0.5,-
2003,Sep,29,0.44,-
2003,Sep,30,0.44,-
2003,Oct,1,0.13,-
2003,Oct,2,0.5,-
2003,Oct,3,0.5,-
2003,Oct,4,0.5,-
2003,Oct,6,0.38,-
2003,Oct,7,0.56,-
2003,Oct,8,0.44,-
2003,Oct,9,0.5,-
2003,Oct,10,0.56,-
2003,Oct,11,0.38,-
2003,Oct,13,0.38,-
2003,Oct,14,0.5,-
2003,Oct,15,0.38,-
2003,Oct,16,0.69,-
2003,Oct,17,0.69,-
2003,Oct,18,0.5,-
2003,Oct,20,0.63,-
2003,Oct,21,0.69,-
2003,Oct,22,0.63,-
2003,Oct,23,0.44,-
2003,Oct,25,0.38,-
2003,Oct,27,0.25,-
2003,Oct,28,0.38,-
2003,Oct,29,0.25,-
2003,Oct,30,0.63,-
2003,Oct,31,0.38,-
2003,Nov,1,0.25,-
2003,Nov,3,0.56,-
2003,Nov,4,0.38,-
2003,Nov,5,0.38,-
2003,Nov,6,0.25,-
2003,Nov,7,0.25,-
2003,Nov,8,0.25,-
2003,Nov,10,0.06,-
2003,Nov,11,0.19,-
2003,Nov,12,0.06,-
2003,Nov,13,0.31,-
2003,Nov,14,0.25,-
2003,Nov,15,0.25,-
2003,Nov,17,0.44,-
2003,Nov,18,0.38,-
2003,Nov,19,0.31,-
2003,Nov,20,0.5,-
2003,Nov,21,0.38,-
2003,Nov,22,0.38,-
2003,Nov,24,0.38,-
2003,Nov,26,0.31,-
2003,Nov,27,0.38,-
2003,Nov,28,0.19,-
2003,Nov,29,0.13,-
2003,Dec,1,0.25,-
2003,Dec,2,0.19,-
2003,Dec,3,0.19,-
2003,Dec,4,0.19,-
2003,Dec,5,0.25,-
